sign_id,sign_name,unicode_value,character,character_image,frequency_count,contexts,variants,transliteration,classification,sources
U+18B47,Khitan Large Script Character 18B47,U+18B47,𘭇,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190702'}]"
U+18B48,Khitan Large Script Character 18B48,U+18B48,𘭈,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190708'}]"
U+18B49,Khitan Large Script Character 18B49,U+18B49,𘭉,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190714'}]"
U+18B4A,Khitan Large Script Character 18B4A,U+18B4A,𘭊,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190721'}]"
U+18B4B,Khitan Large Script Character 18B4B,U+18B4B,𘭋,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190757'}]"
U+18B4C,Khitan Large Script Character 18B4C,U+18B4C,𘭌,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190768'}]"
U+18B4D,Khitan Large Script Character 18B4D,U+18B4D,𘭍,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190775'}]"
U+18B4E,Khitan Large Script Character 18B4E,U+18B4E,𘭎,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190781'}]"
U+18B4F,Khitan Large Script Character 18B4F,U+18B4F,𘭏,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190786'}]"
U+18B50,Khitan Large Script Character 18B50,U+18B50,𘭐,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190794'}]"
U+18B51,Khitan Large Script Character 18B51,U+18B51,𘭑,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190800'}]"
U+18B52,Khitan Large Script Character 18B52,U+18B52,𘭒,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190805'}]"
U+18B53,Khitan Large Script Character 18B53,U+18B53,𘭓,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190811'}]"
U+18B54,Khitan Large Script Character 18B54,U+18B54,𘭔,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190819'}]"
U+18B55,Khitan Large Script Character 18B55,U+18B55,𘭕,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190825'}]"
U+18B56,Khitan Large Script Character 18B56,U+18B56,𘭖,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190830'}]"
U+18B57,Khitan Large Script Character 18B57,U+18B57,𘭗,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190839'}]"
U+18B58,Khitan Large Script Character 18B58,U+18B58,𘭘,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190845'}]"
U+18B59,Khitan Large Script Character 18B59,U+18B59,𘭙,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190851'}]"
U+18B5A,Khitan Large Script Character 18B5A,U+18B5A,𘭚,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190856'}]"
U+18B5B,Khitan Large Script Character 18B5B,U+18B5B,𘭛,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190862'}]"
U+18B5C,Khitan Large Script Character 18B5C,U+18B5C,𘭜,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190868'}]"
U+18B5D,Khitan Large Script Character 18B5D,U+18B5D,𘭝,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190874'}]"
U+18B5E,Khitan Large Script Character 18B5E,U+18B5E,𘭞,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190881'}]"
U+18B5F,Khitan Large Script Character 18B5F,U+18B5F,𘭟,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190887'}]"
U+18B60,Khitan Large Script Character 18B60,U+18B60,𘭠,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190893'}]"
U+18B61,Khitan Large Script Character 18B61,U+18B61,𘭡,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190901'}]"
U+18B62,Khitan Large Script Character 18B62,U+18B62,𘭢,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190907'}]"
U+18B63,Khitan Large Script Character 18B63,U+18B63,𘭣,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190913'}]"
U+18B64,Khitan Large Script Character 18B64,U+18B64,𘭤,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190919'}]"
U+18B65,Khitan Large Script Character 18B65,U+18B65,𘭥,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190924'}]"
U+18B66,Khitan Large Script Character 18B66,U+18B66,𘭦,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190930'}]"
U+18B67,Khitan Large Script Character 18B67,U+18B67,𘭧,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190936'}]"
U+18B68,Khitan Large Script Character 18B68,U+18B68,𘭨,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190943'}]"
U+18B69,Khitan Large Script Character 18B69,U+18B69,𘭩,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190949'}]"
